RowID,ResponseId,Q6_definition,exclude,open-repeatable,result-same,result-similar,data-same,data-new,context-new,methods-same,methods-varied,validate-external,unique-space-time,context-same,validate-internal,epistemology,notes
36,R_xyCcoGXzZIYOHqp,The ability to infer results or findings from one place to another. A synonym is generalisability.,,,,1,,,1,,,1,,,,,
37,R_2dTkPvya1BjKlvi,NA,1,,,,,,,,,,,,,,
38,R_2YKtou6Uj2ZBCg3,"I understand it as being able to recreate quantiative output based on a particular dataset X. In archaeology, it is often difficult to obtain true replicability because the original material (faunal remains, pottery, lithics) from which data set X is derived is not accessible or, it is not reasonable to analyze all the material again (takes too long). Also, it's not possible to ever 're-excavate' was has already been excavated!",,,1,,1,,,,,,1,1,,,
39,R_1eFP4UMY1Vx5rPe,"Replicability refers the degree to which a study could be conducted in the same way again, at a different point in time and by other people. Good replicability necessitates that study sites, methods and materials are described in adequate detail. But then there's the question of what replicability means in observational studies where the whole setting of the study changes in time (e.g. forest succession in study sites proceeds) so that the study cannot be repeated in the same way in the same area again. Also, there's a difference between replicability of a study and replicability of results. A replicable study does not automatically yield replicable results.",,1,,,,,1,1,,1,1,1,,,
40,R_1dtuAmWRi4mMaoh,"Replicability means that both the data sources and methodology of a research project are noted down clearly and detailed enough so that other researchers can reproduce the research exactly as a form of peer review, or that the same or similar research can easily be repeated in another domain or area.",,1,1,,1,,1,1,,,,,,,
41,R_2qsyrY0KkiYGt07,"In my field, replicable science refers to science where someone applying the same methodology/model to the same input dataset should get the same results. It is usually facilitated using a scripting approach (usually implemented in an open source environment like R Studio or Jupyter Notebooks) that tracks all manipulations to the original input dataset (including filtering, cleaning, and analysis), as well as the generation of the publication figures, tables, and manuscript (including values reported in the text).  In replicable science, all the code scripts and original data are made publically available at the time of submission so that anyone can replicate the entire workflow behind the manuscript.",,1,1,,1,,,1,,,,,,,
42,R_2zeUZXvv8xhigAK,"Published work can be reproduced by others. It is important that the paper is written and data presented in such a way this is possible. Not always the case. 

Results are common across a set of independent studies,  data analyses and data sets. This is not something I find is commonly presented in my field (sea ice geophysics). There is actually a tendency to prevent publication of papers that are reproducing past analysis. Also, it is not encouraged in our career progression to publish such work. Novelty is prized over verifying scientific findings are indeed robust and peer review. 

Experiments are designed such that their results can be tested independently (admittedly this is not so common in geosciences where we might collect a data set that is available in other forms).  And this might be described better as a robust finding if the same behavior is identified in independant data sets. However publishing of results that turn out to be not reproduced subsequently in new data is a known issue.",,1,,1,,1,1,1,,1,,,,,
43,R_24iN3OT053LvXnI,I understand that a study is replicable if someone can use the methods described in a paper to generate a new dataset and obtain a similar result.,,,,1,,1,,1,,,,,,,
44,R_3LjBsyzGr80wcSa,The ability for some other researcher to carry out your same research design as closely as possible.,,1,,,,,,1,,,,,,,
45,R_2Xjj6WtJktSCPUu,"Ability of researchers other than the research team to reproduce published findings, ideally by having the original data and, if applicable, analysis procedures and code readily  available.",,1,1,,1,,,1,,,,,,,
46,R_1LpUYuv54y3LGo9,Research that can be replicated in other contexts.,,,,,,,1,,,,,,,,
47,R_1P5aBXFiTGytdwM,"The concept of ""replicability,"" as I understand it, refers to the ability to reproduce research results either with the same data (and the same analytical techniques), or with the same research design.",,,,,1,,,1,,,,,,,
48,R_1resBgU4l3l300v,Like an apple is falling towards the Earth,1,,,,,,,,,,,,,,
49,R_2V4ix12N7v5mKdn,Easy to reproduce the results. All needed data and code are available,,1,1,,1,,,1,,,,,,,
50,R_2pKpQHkqcle8twA,The possibility to verify the source data and elaboration procedure as well as to visit the field site,,1,,,1,,,1,,,,1,,,
51,R_2aLD9aFLzHHlNNN,Reproducibility. You or another research group can perform the same physical or numerical experiments and realize the same results.,,1,1,,,,,1,,,,,,,
52,R_2sTOT2N03y5YaD0,The ability to perform an analysis and achieve results that are the same (within a certain level of error) as previous attempts to perform the same analysis.,,,1,,,,,1,,,,,,,
53,R_1MQZAqss56CFT5O,"Being able to reproduce results, either by following the same protocol or by arriving at the same answer using different methods.",,,1,,,,,1,1,,,,,,
54,R_3rYC3Q28qUIqzWL,It means reliability of your work. Others can find your results as well when they follow your methodology and use your dataset,,,1,,1,,,1,,,,,,,
55,R_3094fdxPPmcPrN3,"Replicable studies in nature/society geography are those with sufficient methodological transparency and explication in study design that another researcher might reliably tackle the same study again to falsify, verify, and evaluate the previous results. Most obvious here, Land Change Science studies use publicly available remote sensing and property data, for example. I would be generous enough with my definition to include all historical qualitative work, and some other qualitative work. Example: A study of John Muir's texts that explores specific representations of, say Native Americans, would be empirically replicable, even if the interpretive elements were not.",,1,1,1,1,,,,,,,,,,
56,R_3NvKxwdJMmOCN5G,"To provide a full and complete information to repeat research and validate findings through the publication of open analytical (not primary) data, metadata, codes, pipelines, etc",,1,1,,1,,,1,,,,,,,
57,R_2xVSN6DhUYFfb9V,Reproducible results conducted by different scholars that reach the same conclusion.,,1,,,,,,,,1,,,,,
58,R_2wB40V2TYXcYh5N,"That a study should both be reported in a way that allows for another research to replicate the study and that ideally research studies are replicated by other researchers. The first focuses on using a series of clearly stated and explicated methodologies and data analysis techniques, so as to be recognizable to others and followed by others in a separate research undertaking. The second would point to the practice of similar studies being undertaken by other researchers. I think that most folks think more about the first point and much less about the second, for which I think there are serious barriers.",,1,,1,,,,1,,1,,,,,
59,R_3FQhYe6kvURaHRL,"To be able to perform an experiment and repeating it under the same/very similar circumstances.

Producing a script/research than can be run/performed by anyone, anywhere reaching the same results based on the same dataset/conditions and information",,1,1,,1,,,1,,,,1,,,
60,R_21iV1SmWnDrYIbc,"Replicability is not a big idea in my research, but in other fields it refers to the ideas that someone could repeat my research and produce similar results, come to the same findings.",,1,,1,,,,,,1,,,,,
61,R_3HiTQl5dgpRJuqr,"I understand replicability as a feature of quantitative studies or experiments and refers to the possibility of repeating the exact methods of data collection and arriving at the same results and conclusions as a previous researcher.
In my subfield, replicability is generally not an expectation because we are particularly interested in the specifics of what is happening in particular places, times and contexts and there is infinite variability. Most data we deal with is qualitative and even if the same research methodology was repeated, the data set would not be replicable.",,1,1,,,,,1,,,1,,,,
62,R_tRsfgsg0jn4T8Fb,"Do other studies using different data confirm the initial hypotheses? If yes, the result is replicated.",,,,1,,1,,,,1,,,,,
63,R_1i8aZr3VnHDhlBc,NA,1,,,,,,,,,,,,,,
64,R_2E195YsmaulvNoo,"I'm an ecologist. Replicability means that a study can be repeated with more or less the same conditions and you will get the same result. The key challenge is the part about ""more or less the same conditions"" because it differs from lab science where such conditions can be tightly controlled.",,,1,,,,,1,,,1,1,,,
65,R_1LYgM17dAY167ux,The ability for anyone to replicate/verify the results reported in a publication. This entails providing access to the same data set and method used for the published analysis.,,1,1,,1,,,1,,,,,,,
66,R_vxJ9MJLzw5Kyt5D,When the results of one study are found to be consistent by another study in the field.,,,,1,,,,,,1,,,,,
67,R_2VOb0gt3HNaUlJu,The phenomenon can be found or proposed strategies can be applied to other spatial entity.,,,,1,,,1,1,,,,,,,
68,R_C7jzv5leLecBqiB,"1. Data used should be accessible or made accessible
2. Data and program files (eg Stata, R.) should be available for secondary checking
3. Results files be available",,1,,,,,,,,,,,,,
69,R_xrAbVLua8qE9QMp,the data can be examined by further research,,1,,,,,,,,,,,,,
70,R_1dvkI8GZqk90mP2,We don't use the term but it refers to the ability for someone to get the same or similar results. It only really makes sense within a particular/post-positivist epistemology. It does not really apply when we think about knowledge as co-created.,,,1,1,,,,,,,1,,,1,
71,R_DxbafrxvybcAB6V,Study the same topic but without (much) innovation.,1,,,,,,,1,1,,,,,,
72,R_p9OBUfW3DMV0Dxn,I understand replicability as a question - Are methods suffciently detailed and data available to allow other researchers or third parties to reproduce a research project or duplicate the findings of a research project using different data?,,1,,1,1,1,,,,1,,,,,
73,R_beHd2VeoBNlYiaZ,The possibility that a result can be replicated or verified by future analysis to lend more confidence to the result.,,,,1,,,1,,,,,,,,
74,R_5q0dcQ5V7yElOoh,"Replicability means that research that has a clear methodology, so it is possible to repeat it.",,1,,,,,,,,,,,,,
75,R_3s4ZR5gpyzFsoqy,Reproducibility of the method,,1,,,,,,,,,,,,,
76,R_8j1ik0NAQ9Pepz3,the capacity to repeat a research method,,1,,,,,,,,,,,,,
77,R_2rGvpSduQGK6K6E,"The ability for independent researchers to reach the same conclusions on any particular study, using either the same data used in the original study, or through a different set of data.",,,,1,1,1,,,,1,,,,,
78,R_4YPOT7Jdmfq0vOF,"Anyone with appropriate prior knowledge should be able to replicate the analysis performed in a given study fully based solely on the information provided in the paper/report describing it. This includes description of of sampling designs and lab measurements, making original data and code available, and for all data downloaded from databases, a clear record of what data was downloaded when.",,1,,,,,,,,,,,,,
79,R_3qF4UPEft8yLgtd,"That a similar study can be conducted by another scholar, towards comparability.",,,,1,,,,,,1,,,,,
80,R_3qZEzHXTabXnWix,The ability to reproduce quantitative results,,1,1,,,,,,,,,,,,
81,R_3NECVf8UIwVWX8U,"Someone would be able to use your description of the research methods you used, apply them themselves and generate data that led them to the same conclusions.",,,,1,,1,,1,,,,,,,
82,R_AbQQ07YlDHp9uAF,"we analyze samples in duplicate or in triplicate. Therefore, replicability is necessary in the research",,,,,,,,,,,,,1,,
83,R_2S8nH8cti0uaIhA,"Replicability is the degree of concordance between measurements of the same variable changing one ore more conditions (study site, environmental condition,  controllable variables).",,,,1,,,1,,,,,,,,
84,R_2ZOlDtacOfxzhdk,Replicability is the obtention of consistent results in different studies,,,,1,,,,,,1,,,,,
85,R_3D797Qzrg766d5e,I am working in topics of planning. Many studies are case studies about unique planning processes. Studying the same process by different researchers may result in different perspectives as the questions and perspective may be different. Studying different cases may result also in different outcomes as context matters.,,,,,,,1,,,1,1,,,,
86,R_2YVUdWYFIrevSg4,That research is conducted and reported in such a way that it could be repeated (replicated) by another researcher with the expectation of producing the same/similar results.,,1,1,1,,,,,,,,,,,
87,R_210dMj4d67WtmUZ,Confirm the scientific findings and results by repeating studies.,,,,1,,,,,,1,,,,,
88,R_4I8D3P7vbLHplkd,The extent to which a study and its results can be replicated independently.,,1,1,,,,,,,,,,,,
89,R_33DyH9s55vh6rM8,Experimental results can be repeated,,1,,,,,,,,,,,,,
90,R_ximiZMu0vYmPG7v,studies that can be re-tested,,1,,,,,,,,,,,,,
91,R_3fcQ9Z9RVRQXJCX,Replicability means obtaining consistent data and results across studies aimed at answering the same scientific question/s using new data or other new methods.,,,,1,,1,,1,1,1,,,,,
92,R_AyBXUwl9ekkj6pP,"Replicability of results, i.e. the possibility for other researchers to reproduce the experiment, or confirm the conclusions of a given study.",,1,,1,,,,,,,,,,,
93,R_2TyIBiLMHoUIeHo,"Using the same scientific methods, different groups are able to reproduce results",,1,1,,,,,1,,,,,,,
94,R_ZfaRmIBNuG3Ofst,"Using and adapting existing innovation conceptual frameworks, methods and indicators across different geographies and periods or in different contexts (for example sector-focused studies or across categories of company size).",,,,,,,1,1,,,,,,,
95,R_27JP4hwl7ysinDF,The methodology can be used in similar contexts and its results can also be extrapolated to other sites with substantially the same characteristics,,,,1,,,1,1,,,,1,,,
96,R_cNLQzIz54fFD7Pj,The capacity to reproduce a study,,1,,,,,,,,,,,,,
97,R_31YGatmnn7bK2uy,"The ability of other to redo analyses, using the same data and same methods",,1,,,1,,,1,,,,,,,
98,R_2dowvdWMSDvrMyV,The ability to reproduce a study using the same or similar research design to test both its internal and external valdity.,,,,1,,,,1,1,1,,,1,,
99,R_1hALhgGDtEipltN,"Replicability is used to assess whether the scientific results of a study are credible and generalizable. It is more common in natural sciences research where one can obtain consistent results across studies if they can create the same physical conditions. However, in social sciences, especially working with human subjects, replicating the same study (meaning applying the same methods, research design etc.) is quite impossible. Our research is so often situated and non-replicable in the sense that scientific research is in, for example, physics. However, that doesn't mean that it is not scientific or credible.",,,,1,,,,1,,1,1,,,1,
100,R_1MRGprXluD9f8XO,That another researcher can get the same results as you by using the same methodological approach,,,1,,,,,1,,,,,,,
101,R_2hq2jbTJ9h6YlJD,"A different person looking at my data would come to the same conclusions. Even better, someone going and using my same interview protocol would find the same results, after spending a similar time in the field. But I also recognize we aren't seeking objectivity in Geography in the same way many natural and physical scientists do, so I think they'd pick up on different nuances than I did. Furthermore, many of the trends I observed were particular to this time (late 2010s) and will likely take on a different shape as broader societal trends also change.",,,1,1,1,1,1,1,,1,1,,,1,
102,R_1jZALgcgQPJtEDx,it should be possible to repeat the same study and/or analysis and arrive at same results,,1,1,,,,,1,,,,,,,
103,R_2Sv1nLPrwU2MO8l,Capacity of another researcher to understand the research approach/methods clearly enough to replicate the research design and its implementation.,,1,,,,,,,,,,,,,
104,R_b8VGQzADIdo2wff,NA,1,,,,,,,,,,,,,,
105,R_3EXOoXHfO5D3dBj,The ability to read one's work and recreate the same results using the same methodology.,,1,1,,,,,1,,,,,,,
106,R_1EhyeKWhl9SKhbJ,The methodology used to arrive at the results in one study can be replicated in a subsequent study.,,1,,,,,,1,,1,,,,,
107,R_yr2fXleeH5caDOV,The ability to reproduce research using (open) data and code which has been published online with the research,,1,,,1,,,1,,,,,,,
108,R_3JtrZSxjlijeRTs,Whether a method is providing expected results when applied to datasets on which it is supposed to work,,,1,,1,,,1,,,,,,,
109,R_5C7dr9kRkiGZAB3,Replicability refers to the ability of a researcher to duplicate the results of a prior study if the same procedures are followed but new data are collected.,,,,1,,1,,1,,,,,,,
110,R_56AREHim7pCz1Yd,"The methodology of an article should be described in such a manner, that other researchers be able to repeat the steps.",,1,,,,,,,,,,,,,
111,R_1pQzVNVvfrnwvCD,"That people can repeat the same experiments using the same conditions. Alternatively, conduct the same set of observations, using the same tools even if for a different system.",,,,,,,1,1,,,,1,,,
112,R_el06VOazfMitviN,"The term has much more sense in experimentation. It is the possibility of repeating an experiment (an investigation) maintaining all variables and procedures equal, and thus attaining the same results.",,1,1,,1,,,1,,,,,,,
113,R_1DN10MAzdEXt4fD,That experimental/observational work can be repeated and similar findings established.,,,,1,,,,1,,,,,,,
114,R_BVWLrbUR3qXCs6t,"Being an experimental geochemist, it is important that other scholars can replicate my methodologies in order to validate the findings I report. Therefore, replicability stands for the ability to independantly replicate results published in peer-reviewed journals in any setting and is one of the vital components of transparency in advancing science.",,1,,1,,,1,1,,1,,,,,
115,R_3Jx70QXTh3ywCYY,"Capacity to reproduce research processes and methods leading to similar outcome, if they were applied by a different team of researchers in the same setting, or to comparable results (comparable in the sense of enabling comparisons), if they were applied in a different setting. However, in my understanding replicability in any scientific discipline is more about ensuring ""transparency"" of research (eliciting which methods are applied and how they are applied) rather than about enabling ""validation"" of research outputs.",,1,,1,,,1,1,,,,1,,,Not about validating outputs!
116,R_3m3mizoCOGe7lyi,cycles and recurrence of similar events,1,,,,,,,,,,,,,,
117,R_CfZlXEtHqXHhbHz,"I would not consider myself a geographer, but have come to publish within geography from a critical political economy/sociology perspective. I have not engaged with debates about replicability within geography, defined as a discrete discipline, thus my understanding is probably a rather general one: I would distinguish between the stricter reproducability and the less strict replicability where reproducability would focus on the findings of a research project being reproducable in the sense that using the same (usually quantitative) data and running the same (probably IT-based) methods and programmes, a third researcher would be able to arrive at the same findings. Replicability I understand to be less strict in the sense that using similar data (quantitative and/or qualitative), similar methods, and similar theoretical approaches, a researcher would be able to come to similar findings that would support a certain more general argument or observation, or to put it differently where different researchers using different methods and data would answer the same (or very similar) research question(s) in the same (or very similar) way, thus leading to consistency across studies.",,,,1,,1,1,1,1,1,,,,,ignore reproducibility part of answer
118,R_1P0GXiqdsVRKiTI,Methods and data are available such that analyses and results can be easily repeated or replicated by others,,1,,,,,,,,,,,,,
119,R_1fZOSTIAZJnQm9E,"That if another researcher followed my research methods at my study sites we would come to similar conclusions, or that I have provided sufficient detail for a research to apply my research approach to address a similar research problem.",,1,,1,,,,1,,,,1,,,
120,R_5hhVsLtor29mGD7,"Is the ability in obtaining consistent results using different methods, through different studies. For instance 2 studies applying different methods were able to come to the same conclusion.",,,,1,,,,,1,,,,,,
121,R_3szQJqYPYjFtIzA,It is the ability of a scientific experiment to be repeated to obtain a similar result.,,1,,1,,,,1,,,,,,,
122,R_338VdQJ0wUNr6dJ,"How likely it would be that if your conducted your study on a wider population of your sample, that you would get the same results/ findings",,,,,,,,,,,,,1,,
123,R_2Cs2Exn37DwvD1L,the ability of other scholars and specialists to repeat the methods described in published research using the same data and produce the same results as the original published research. Replicability in science requires a high degree of transparency and honesty in the original publication and also availability of the data used in the original study. Replicability is the backbone of ethics in science.,,1,1,,1,,,1,,,,,,,
124,R_b7XuixOtWK577cB,physical mechanisms that are robust.,1,,,,,,,,,,,,,,
125,R_7O2WwHvEAomxOql,Replicability is when others can repeat your studies and get similar results within a certain margin of error.  It is typically much easier to analyze in quantitative studies.,,1,,1,,,,,,,,,,,
126,R_3ebph0chFaeK39K,Using the same data and prove whether also other researchers get the same results.,,,1,,1,,,,,,,,,,
127,R_2zcPi8BZIRIRpiJ,"Debates about it as a value in qualitative case study research; replicability is a principle that encourages researchers to ensure their research could be done again by another researcher and garner similar results. 
",,1,,1,,,,,,,,,,1,
128,R_30oDv1pHPoPxqec,"It's not something we really talk about in qualitative human geography studies. However, if someone does research on the same topic in the same place and find vastly different results, there's obviously a methodological issue. Or some sort of major change that needs to be addressed.",,,,1,,,,,,,,1,,1,
129,R_1FzdMzqQOaDfnWb,"Using theoretical perspectives and methodologies -even instruments- in other regions, societies, contexts different from the original fieldwork.",,,,,,,1,1,,,,,,,
130,R_3J9H1XkKEabNEJI,"the fact that the survey (e.g. geomorphological, volcano-tectonic, etc..) you produced can be similar to the one produced by other people in the same area. In other therm different people ""see"" or quantify the same geological object or processes.",,,,1,,,,,,,,1,,,
131,R_2wEOiZYtUQ5pYZq,Replicability is the need for research results to be able to be recreated by other scientists using the same methods.,,1,1,,,,,1,,,,,,,
132,R_3FP63BTUCCI7Fts,Repeat your results during the experiments,,,,,,,,,,,,,1,,
133,R_20TAmTUDdovbrnr,Can be verified by other scholars,,,,,,,,,,1,,,,,
134,R_21dCNjhAmLCw1VQ,Two meanings. (1) that a team of researchers using the same methods/data to answer the same research question will find the same results as a previously published study. (2) that a study is published with adequate description of/access to the data and code such that another researcher can rerun the study to find the same results.,,1,1,,1,,,1,,,,,,,
135,R_1jjIcUIYcP6zfbn,"Data are available for folks to pursue replication studies based on approaching same question with possible differences in approach, distinct from reproducibility",,,,,1,,,,1,1,,,,,
136,R_2w167DbKMg5sM5Q,Replicability of methods and Generalisation of results to other context,,,,,,,1,1,,1,,,,,
137,R_VUc9ks9KXC9Id4B,The ability to repeat the same study and obtain similar results,,1,,1,,,,,,,,,,,
138,R_7alCVD4ndVjDzGN,All results could be repeated for the same materials and methods or repeated by the other materials and methods,,,,1,1,1,,1,1,,,,,,
139,R_b7bBrd6vTY0WPbr,The ability to  reproduce results (or perhaps not to reproduce them) in repeat meaurements.,,1,,1,,,,,,,,,,,
140,R_297ledj7LlwhQrN,"To provide sufficient information/access to data, methods, research questions, and hypotheses such that other researchers can replicate results and would come to the same/similar conclusions.",,1,,1,1,,,1,,,,,,,
141,R_3PRye7gYezOb3Lj,NA,,,,,,,,,,,,,,,
142,R_2fm9DPuc399MkdG,Applying same methodology to different case studies leads to similar results,,,,1,,,1,1,,,,,,,
143,R_33BlbdABt1x4k9p,The same results of a study can be obtained by an independent team using the same research methods/experimental setup,,,1,,,,,1,,,,,,,
144,R_3irFM4PEDfmMit0,When working with speleothems on paleoclimate my aim is to verify if I ca obtain consistent results from several speleothems and caves located in similar geographic region in order to verify if I ca answer the same scientific question.  This is done by  obtaining independent data from each cite .,,,,,,,,,,,,,1,,
145,R_UWoet094BaF5DmF,anyone should be capable to replicate your study using the methodology and the same type of variables to obtain similar results,,1,,1,,,,1,,,,,,,
146,R_2wKVdNtjbIzGE1B,be able to reproduce the same findings to a considerable extent. ideally 1-1 with the use of scripts and making all data accessible,,1,1,,1,,,1,,,,,,,
147,R_1IQTLp95pnkH30F,"In one sense replicability of research would mean that an author's or a research team's work is designed and reported in such a way that other scientists (or another scientist) can reproduce the work.  The term also applies to experimental design and execution, an arena in which it can take on many definitions and meanings, and an area where there is more room for error and misunderstanding.  It can be a statistical problem (avoiding pseudoreplication in inferential stats; detecting and understanding differences between treatments) or an issue in experimental design when researcher(s) have to be careful to avoid pseudoreplication in their design and analyses (for example, not thinking carefully about correlated samples).",,1,,,,,,,,,,,1,,
148,R_2X5kVU6tdzc1Jrr,"For me, in brief, replicability is to enable other researchers to reproduce my research. This includes the availability of data, rigor documentation of methods and code availability if programming/scripting is involved.",,1,,,1,,,1,,,,,,,
149,R_ZCxeMZPKeLGXs6R,"That a group or individual can come to similar analytical results than a previous author/scientist has published based on the provided information about samples, methods, analytics.",,,,1,1,,,1,,,,,,,
150,R_YaTOFGWO3J9wMJH,The results of the study can be reproduced,,1,1,,,,,,,,,,,,
151,R_3kzYDRIyZiLdDLc,Replication of results if same method/approach was used,,,1,,,,,1,,,,,,,
152,R_2afpzVjvgePdHUN,To be able to reproduce a process or a system,1,,,,,,,,,,,,,,
153,R_2YmI0oowwx6LVfY,Possibility to reply the experience n times,,1,,,,,,,,,,,,,
154,R_2CNzm5TgQlE80wp,The ability to replicate a research protocol using the method described.,,1,,,,,,1,,,,,,,
155,R_2bK4LZ2JGxn8E4Z,"In my subfield replicalibity is the capacity that anyone in the world repeat the methods and experiments conducted within my research and find the same, or at least similar, results. In order to guarantee replicalibility, it is expected that the reasearcher made your data available in a readable format and clearly explain the steps executed to achieve the reported results.",,,,1,1,,,1,,,,,,,
156,R_ZwNKNFiMiFDlLDH,being able to re-run the whole analysis presented by the authors.,,,,,,,,1,,,,,,,
157,R_2cjFZlsb4wdbQV4,should able to reorganize the experiment for better accuracy,,,,,,,,,1,,,,,,
158,R_31T0pSIYyHRWKZy,Can you duplicate results,,,1,,,,,,,,,,,,
159,R_TinjnQfh73VBvA5,"Being able to replicate a procedure, whether that be field or lab based, to reach similar results.",,,,1,,,,1,,,,,,,
160,R_3kwjSVPeyBIYRDF,The extent to which the results can be transferred and replicated to other contexts,,,,1,,,1,,,,,,,,
161,R_1lzR4paihQzfLPc,NA,1,,,,,,,,,,,,,,
