"","ResponseId","Q9_study_factors_oth","Q11_phen_factors_oth"
"32","R_2dFN8ER1GFcoFl9","I am not sure that the problem you are posing is methodological in nature. Results don't get reproduced in human geography not because of access to information or knowledge about certain types of techniques. In fact, the opposite is the case. The more a study is seen as ""additive"" (reproducing the techniques undertaken by someone else) the less likely it is going to be seen as ""transformative"" (doing something that other people have yet to do, and thus is novel, innovative, ""pathbreaking"". The ideology of performance metrics (in many ways tied to specific notions of what counts as good or legitimate research) are very often at odds with ensuring that results are transparently and accurately reproduced with alternative data. In your specific case, though, qualitative research is much harder to reproduce if you are doing ethnographic or interview-led research. These are approches that are inherently flexible to the evolution of the research participants and thus change as circumstances demand. Surveys might be easier to reproduce, but they also produce to different types of information. Quant work is easier to reproduce if you have the same type of data available in a different context, but that is about as far as that goes as even this data can be uneven in quality and comparability.",NA
"33","R_8GqnPTMtdTEfe9P","I study natural processes in the landscape, and some phenomena are dependent upon infrequent/chance events, like a 100-year storm during period of observation.",NA
"34","R_3qapy3dscjFt7iJ",NA,"It depends what you are trying to understand.  If you are trying to see if X is related to Y then it should matter that there is spatial variability of X and Y if nothing else changes."
"35","R_3G833vaOsIMiJqT",NA,NA
"36","R_xyCcoGXzZIYOHqp","The ability to replicate also depends on how strictly or loosely researchers interpret results or concepts or hypotheses.  The stricter the less likely.","It depends a lot on how ideas are understood and applied.  Eg ‘homogeneity “ of local characteristics can make something appear replicable but can also be in the eye of the beholder, and exclude lots of differences."
"37","R_2dTkPvya1BjKlvi",NA,NA
"38","R_2YKtou6Uj2ZBCg3",NA,NA
"39","R_1eFP4UMY1Vx5rPe","Results were unexpected.",NA
"40","R_1dtuAmWRi4mMaoh",NA,NA
"41","R_2qsyrY0KkiYGt07","replication as you define it is almost exclusively used to extend the domain in which a result is thought to be valid (either different regions with different climate and hydrology, or a wider range of environmental conditions at the same location).",NA
"42","R_2zeUZXvv8xhigAK","I commonly see poorly documented methodology where it is not possible to identify parameters used in the study, rendering it almost impossible to replicate without performing expensive sensitivity studies. 

My field relies on exceptionally expensive field work. Hence we can often be explorers of the system, presenting observations that are new with data sets that are very expensive to replicate in different locations and time. The study also relies on researchers collecting adequate data to get robust statistical results. I have seen papers published in Nature (for example) that were later shown to not be statically robust with later data collection or further analysis. Highlighting not only the importance of replication but also of how the prestige in publishing is affecting the opinion of colleagues as to current knowledge. The falsified prestigious results getting more light than the finding that they were not interpreted correctly for example. 

Ego and status of players in the field affect the scientific method and who gets access to resources to test the findings of the big players. 

And the metrics used to measure scientific success for academics trying to stay in the field and their jobs affect the types of studies that are done. if your job security is tied to novel and publicly flashy results (self promotion, proving the worth of your work through being at the cutting edge of discovery not on the side of good scientific methods), you are less likely to be part of the machinery that ensures we are making robust findings as a community.","I listed somewhat likely simply because such studies might have a small chance of getting funded. Pure replication has no chance to my knowledge."
"43","R_24iN3OT053LvXnI",NA,NA
"44","R_3LjBsyzGr80wcSa",NA,NA
"45","R_2Xjj6WtJktSCPUu","Thoroughly documented analytic procedures and code availability will tend to support replication.",NA
"46","R_1LpUYuv54y3LGo9",NA,NA
"47","R_1P5aBXFiTGytdwM",NA,NA
"48","R_1resBgU4l3l300v","I take replication for granted, otherwise it is not science.",NA
"49","R_2V4ix12N7v5mKdn","Restricted access to code used in the analysis",NA
"50","R_2pKpQHkqcle8twA",NA,NA
"51","R_2aLD9aFLzHHlNNN",NA,NA
"52","R_2sTOT2N03y5YaD0","availability/public access to data",NA
"53","R_1MQZAqss56CFT5O","How difficult it is to gather data due to remote locations (e.g. a remote lake in high alpine area) or cost of method or speciality of the equipment (e.g. hyperspectral camera - onky three universities in the world has one)",NA
"54","R_3rYC3Q28qUIqzWL",NA,NA
"55","R_3094fdxPPmcPrN3","Data collected in different contexts, as implied above, even where collection methods were identical, should be given some pause when considering them effectively interchangeable. The nature of responses to even well-written survey, for example, will be impacted by the interpretive context (cultural or otherwise) of a respondent. That may give you apples and oranges that an ""identical"" method alone cannot control. Context matters, in short, and always makes inter-regional or inter-population comparison problematic.",NA
"56","R_3NvKxwdJMmOCN5G",NA,NA
"57","R_2xVSN6DhUYFfb9V",NA,NA
"58","R_2wB40V2TYXcYh5N","I conduct research with a long history of case studies, so the tradition in the field would--to some extent--seem to work against some aspects of replicability. But then again, the use of replicated methods with some types of data should produce different results. That is a part of research, to determine whether all variables or contexts are being considered in a study. Replicability may be a gold standard in some forms of research, but the inability to replicate a study and produce the same findings is, in and of itself, an important outcome or the research process.",NA
"59","R_3FQhYe6kvURaHRL",NA,NA
"60","R_21iV1SmWnDrYIbc","Replication is not a big issue in geography.","Replication is not a big deal in geography."
"61","R_3HiTQl5dgpRJuqr","Socio-economic, political and cultural contexts, time and place, individualities of participants are all constantly changing. The analysis of two or more data sets against a relevant theoretical frame allows detailed comparisons and uncovers how, where and under which circumstances there is consistency between them.","Socio-spatialized understandings of place as relational and dynamic and the researcher as situated in and co-productive of place makes phenomenal consistency across multiple locations unlikely. In many cases, it is the inconsistency which is important."
"62","R_tRsfgsg0jn4T8Fb",NA,NA
"63","R_1i8aZr3VnHDhlBc",NA,NA
"64","R_2E195YsmaulvNoo",NA,NA
"65","R_1LYgM17dAY167ux",NA,"1. Has different sets of control/explanatory variables.
2. The data is not collected through a random sampling procedure (hence likely biased, which reduces generalizability / replicability)."
"66","R_vxJ9MJLzw5Kyt5D",NA,NA
"67","R_2VOb0gt3HNaUlJu","subject of study",NA
"68","R_C7jzv5leLecBqiB",NA,NA
"69","R_xrAbVLua8qE9QMp","the randomness of sampling",NA
"70","R_1dvkI8GZqk90mP2",NA,NA
"71","R_DxbafrxvybcAB6V",NA,NA
"72","R_p9OBUfW3DMV0Dxn","Methods sections of papers almost always lack critical information or detail that could be used for duplicating or replicating research.",NA
"73","R_beHd2VeoBNlYiaZ","Unique samples were used of which no equal exist (e.g. uniquely preserved fossils)",NA
"74","R_5q0dcQ5V7yElOoh",NA,NA
"75","R_3s4ZR5gpyzFsoqy","No better for now","No better for now"
"76","R_8j1ik0NAQ9Pepz3",NA,NA
"77","R_2rGvpSduQGK6K6E",NA,NA
"78","R_4YPOT7Jdmfq0vOF",NA,NA
"79","R_3qF4UPEft8yLgtd","My research is very strongly theoretically informed, thus replicability expects that the researcers are theoretically well attuned; which typically is not the case. Therefore replicability is not a big issue in the kind of research I do (critical human geography).","The researchers' competence, especially theoretical."
"80","R_3qZEzHXTabXnWix",NA,NA
"81","R_3NECVf8UIwVWX8U","Replication studies are very unusual in my field. This is largely because they would cost much the same as the initial study which would not be regarded as value for money. A Masters student might replicate a study but in a different place, but usually expectations of originality preclude repeating research someone else has undertaken. There is a strong reliance on trust, and on being able to judge the validity of research in relation to a clear description of the methods used.","See previous answer."
"82","R_AbQQ07YlDHp9uAF",NA,NA
"83","R_2S8nH8cti0uaIhA",NA,NA
"84","R_2ZOlDtacOfxzhdk",NA,NA
"85","R_3D797Qzrg766d5e","I have no idea what affects chances of replication. There is a certain cluttering of research. So there is (by chance) a larger role of multiple research (which can be interpreted as replication in hindsight) on popular themes and there is no research done on some other less popular themes.","Whether the phenomenon studied is popular within the scientific community."
"86","R_2YVUdWYFIrevSg4",NA,NA
"87","R_210dMj4d67WtmUZ",NA,NA
"88","R_4I8D3P7vbLHplkd",NA,NA
"89","R_33DyH9s55vh6rM8",NA,NA
"90","R_ximiZMu0vYmPG7v",NA,NA
"91","R_3fcQ9Z9RVRQXJCX",NA,NA
"92","R_AyBXUwl9ekkj6pP","Open-access codes (algorithms) used in modelling studies.",NA
"93","R_2TyIBiLMHoUIeHo",NA,NA
"94","R_ZfaRmIBNuG3Ofst",NA,NA
"95","R_27JP4hwl7ysinDF","1) Local vs. regional physical phenomena can even affect processes within the same geographic units (e.g. ENSO in the hydrology of the Atacama desert).
2) Some methods and results may be likely to be replicable depending on the composition of society. In populations with different percentages of indigenous people, landscapes and natural resources (e.g. water, mining, etc.) can be valued differently (qualitatively) than societies without the indigenous component.","please, see previous answer"
"96","R_cNLQzIz54fFD7Pj",NA,NA
"97","R_31YGatmnn7bK2uy",NA,NA
"98","R_2dowvdWMSDvrMyV","Sampling was not random thereby introducing potential bias in any estimates, which in turn may decrease the chance of replicability. The form and cadence of data being used may also reduce the chance of replicability - i.e., any measurement error may reduce the chance of replicability.",NA
"99","R_1hALhgGDtEipltN","I see the chances of replicating a study very slim in my sub-field.",NA
"100","R_1MRGprXluD9f8XO",NA,NA
"101","R_2hq2jbTJ9h6YlJD","The passage of time (and societal changes in that time) between the first and replication study",NA
"102","R_1jZALgcgQPJtEDx",NA,NA
"103","R_2Sv1nLPrwU2MO8l",NA,NA
"104","R_b8VGQzADIdo2wff",NA,NA
"105","R_3EXOoXHfO5D3dBj",NA,NA
"106","R_1EhyeKWhl9SKhbJ",NA,NA
"107","R_yr2fXleeH5caDOV","Access to data / participants. Resources available eg funding.",NA
"108","R_3JtrZSxjlijeRTs",NA,NA
"109","R_5C7dr9kRkiGZAB3",NA,NA
"110","R_56AREHim7pCz1Yd",NA,NA
"111","R_1pQzVNVvfrnwvCD",NA,NA
"112","R_el06VOazfMitviN","Social contexts and processes vary in space and time; thus, when the research involves social processes, replicability may be not only difficult to attain, but it is precisely the lack of replicability that reflects the diverse and dynamic social realities and processes. (Socionatural relations in my particular field of research)","My previous comment precisely addressed this issue"
"113","R_1DN10MAzdEXt4fD",NA,NA
"114","R_BVWLrbUR3qXCs6t","More repetitions can increase the chance of replication.",NA
"115","R_3Jx70QXTh3ywCYY","Journal requirements and commitment to make published research replicable",NA
"116","R_3m3mizoCOGe7lyi",NA,NA
"117","R_CfZlXEtHqXHhbHz","Part of human geography, how I understand it anyway, is interested (rather small) groups' experiences of (urban) space, with some studies, such as one I conducted, focusing on both a geographically small area and a small group of participants. Replicating this study will be rather difficult.",NA
"118","R_1P0GXiqdsVRKiTI",NA,NA
"119","R_1fZOSTIAZJnQm9E",NA,NA
"120","R_5hhVsLtor29mGD7",NA,NA
"121","R_3szQJqYPYjFtIzA",NA,NA
"122","R_338VdQJ0wUNr6dJ",NA,NA
"123","R_2Cs2Exn37DwvD1L",NA,NA
"124","R_b7XuixOtWK577cB",NA,NA
"125","R_7O2WwHvEAomxOql",NA,NA
"126","R_3ebph0chFaeK39K",NA,NA
"127","R_2zcPi8BZIRIRpiJ","Language abilities of researcher, public policy interventions or changes in law or social, cultural, and economic context",NA
"128","R_30oDv1pHPoPxqec","Qualitative researchers don't test hypotheses, so not applicable is better for the first option",NA
"129","R_1FzdMzqQOaDfnWb","The study of very singular or unique phenomenon.","None"
"130","R_3J9H1XkKEabNEJI",NA,NA
"131","R_2wEOiZYtUQ5pYZq",NA,NA
"132","R_3FP63BTUCCI7Fts",NA,NA
"133","R_20TAmTUDdovbrnr",NA,NA
"134","R_21dCNjhAmLCw1VQ",NA,NA
"135","R_1jjIcUIYcP6zfbn",NA,NA
"136","R_2w167DbKMg5sM5Q",NA,NA
"137","R_VUc9ks9KXC9Id4B",NA,NA
"138","R_7alCVD4ndVjDzGN",NA,NA
"139","R_b7bBrd6vTY0WPbr",NA,NA
"140","R_297ledj7LlwhQrN",NA,NA
"141","R_3PRye7gYezOb3Lj",NA,NA
"142","R_2fm9DPuc399MkdG",NA,NA
"143","R_33BlbdABt1x4k9p",NA,NA
"144","R_3irFM4PEDfmMit0",NA,NA
"145","R_UWoet094BaF5DmF",NA,NA
"146","R_2wKVdNtjbIzGE1B",NA,NA
"147","R_1IQTLp95pnkH30F","some of your items above are context dependent -- a large research team does not, in itself, strike me as a problem, but it could be a serious problem if members of the team did not communicate effectively, gathered data in different ways, etc.  With careful coordination, it might be fine.  Multiple study sites might help with replication, or not, depending on the question(s) and research design",NA
"148","R_2X5kVU6tdzc1Jrr",NA,NA
"149","R_ZCxeMZPKeLGXs6R",NA,NA
"150","R_YaTOFGWO3J9wMJH","My field of study is paleopedology",NA
"151","R_3kzYDRIyZiLdDLc",NA,NA
"152","R_2afpzVjvgePdHUN",NA,NA
"153","R_2YmI0oowwx6LVfY",NA,NA
"154","R_2CNzm5TgQlE80wp",NA,NA
"155","R_2bK4LZ2JGxn8E4Z",NA,NA
"156","R_ZwNKNFiMiFDlLDH",NA,NA
"157","R_2cjFZlsb4wdbQV4",NA,NA
"158","R_31T0pSIYyHRWKZy",NA,NA
"159","R_TinjnQfh73VBvA5",NA,NA
"160","R_3kwjSVPeyBIYRDF",NA,NA
"161","R_1lzR4paihQzfLPc",NA,NA
"162","R_20Zrza4J6xJjNXG",NA,NA
"163","R_XvvTXkW67vuobyp",NA,NA
"164","R_SZuw11jHEFjFCUh",NA,NA
"165","R_2s5YBRqwSEvQq3s",NA,NA
"166","R_1SQxbTCROMaTCRH",NA,NA
"167","R_qVkxEMbhcoR5MWd",NA,NA
"168","R_2cbeZl6DrEbfuhg",NA,NA
"169","R_9yjSPJNrxM34AJX",NA,NA
"170","R_b7Aqz1046LWRGOB",NA,NA
"171","R_3s6X41w0Nmc8CrS",NA,NA
"172","R_1f8jSTA2aO4BrIu",NA,NA
"173","R_3RaulrncYoApMmL",NA,NA
"174","R_3g14nsAAC2YUEz7","Clearer and simpler theoretical basis and formula (for quantitative analyses) are likely to increase replicability.",NA
"175","R_32JWfrD9xNtlcoc",NA,NA
"176","R_3JfxLzPYz0yYY05","sampling protocols",NA
"177","R_3G2j1MeTjxp2PQP","the seansonal reflections of the case","different stakeholders with different standings and pursuit"
"178","R_1rel4tgU8Tlothm","i do not clear- what you mean affect the chances of replicating? so i could not answer this question.","not clear what do you means by 'the chances of replicating"
"179","R_Tk2dvBRyudDo73r",NA,NA
"180","R_pMlKAD4q0vYUjJL","Replicating as you define it in your study is in qualitative research not possible",NA
"181","R_1g1qq1sif8LrQUw",NA,NA
"182","R_5i18aeRbLn0KjSN",NA,NA
"183","R_3n77tPjjYIWc1cR",NA,NA
"184","R_32QOe4jF6xH5Dvt",NA,NA
"185","R_12rtJeK1Q8uithM",NA,NA
"186","R_ugJNCts0DB8UDx7",NA,NA
"187","R_QfC5BqtNBIM18lj",NA,NA
"188","R_2cC9Jagr4KsA1Wq",NA,NA
"189","R_3lMreejg02CES3V","available funding and availability of identical sample material",NA
"190","R_3NEeYSMCiB9MAEN",NA,NA
"191","R_zShF30Uu02xEICd","Convergence of of different reresentative samplng methods","Multiple proxies for a concept and concepts that can suport or contrain multiple hypotheses"
"192","R_1E4cSAKWKE0Gmqx",NA,NA
"193","R_3JDyx6DaPYLYCTT","The context of solving some popular issues or developing new arguments will affect the changes of replicating a study in my field, such as ongoing policies, new methods, new data, etc.",NA
"194","R_32Q6Rwar8wdJipq",NA,NA
"195","R_Y3J7NHT5owB7BOV",NA,NA
"196","R_3ISkQ8fcHYBtgGQ",NA,NA
"197","R_bw794vHjEVb5bih",NA,NA
"198","R_CdZOp2Zpk0DkX9n",NA,NA
"199","R_22M1rRe9jg23U72",NA,NA
"200","R_10VJBUOrqWGhdYM",NA,NA
"201","R_DqVnI6T67L30pNL",NA,NA
"202","R_voCbvTZhCTWEXFD",NA,NA
"203","R_5nJTN2ZzJCggozD","Are the results important? Do they have important health or policy implications? Studies that are purely theoretical or that don't have any relevant implications for human wellbeing are not likely to be replicated.",NA
"204","R_1kGKQCTPNe3yLFH",NA,NA
"205","R_1JVnmzyFoIeU1QF",NA,NA
"206","R_exPGcvH5OgqUa1X",NA,NA
"207","R_2775qqxiRTtt1cs","The main thing is including clear methods and the research instruments.","I'm not sure what you mean by the first statement - it is unclear."
"208","R_1gu9AaeVpVNbhwd",NA,NA
"209","R_3IQP2wtccGZwiZl",NA,NA
"210","R_3s0KrPYI9sPEsZE","Importance of the Subject,
repetition of work,
How many times worked,
The amount of data collected from all directions,
number of data,
Inability to make a definitive judgment...","Inability to make a definitive judgment..."
"211","R_0cUYL2XcxKAc0pj","The variation in time and space also includes differences in cultural systems.","Differences in human behavior due to different cultures, differences in natural environmental conditions"
"212","R_qVib0ammWKmcgXT",NA,NA
"213","R_2WNEa9aWJQnpI32","Logistical problems during fieldwork due to social difficulties",NA
"214","R_pJBMLsumdf5FiZb",NA,NA
"215","R_2VJuZ1RbgSIpvbM",NA,NA
"216","R_2fK9bZzbkSCZPZi",NA,NA
"217","R_bpcJpG1Ik5bxCbT",NA,NA
"218","R_cD4SjWG6wsXrzrj",NA,NA
"219","R_e8PdtGjZc7tyewF",NA,NA
"220","R_10Ox55zGINCNTzW","Poor description of methods and analysis",NA
"221","R_12aL2yRxO8KivdA",NA,NA
"222","R_3314IyqBXVcjtrr",NA,NA
"223","R_2dylAoRIMaUFf3E",NA,NA
"224","R_3CPcL0lTQJo9TVP",NA,NA
"225","R_3m3k6FdTAqZLSTP",NA,NA
"226","R_2WIT7MBh29Vkc5q",NA,NA
"227","R_enFtf1blrGyfTZT","Longitudinal nature of the analysis could increase the replicability.",NA
"228","R_2dKotriFg8OBGG4",NA,NA
"229","R_ZLj0qv8OCewptJL",NA,NA
"230","R_3HGsYPHfQ7P2EQT",NA,NA
"231","R_Rm2Xzrqf2BSZLAR",NA,NA
"232","R_4VOi5aNCYFvE4IV",NA,NA
"233","R_1Q3qRHXnmeySkAs",NA,NA
"234","R_2wSr2DUYESU433b","Variability of geologic properties and lack of knowledge of variation of these properties spatially.",NA
"235","R_TnkREaPVeoVqvWV","I realise this is a waste of my time given the nature of this survey and its underlying assumptions. Given the political and social climate around the research that I do, I am really not comfortable participating. My answers now reflect that discomfort",NA
"236","R_2wLF4U2NAW5YixV","If many studies are already published on related problems in the same geographical area","Media/political attention directed towards the phenomenon"
"237","R_2iA4ZxLh2xcgyMV",NA,NA
"238","R_3HjGCTIojPwlaYO","Natural variation",NA
"239","R_2EGMDM6DLhcZGGp",NA,NA
"240","R_DUf9mj6LbrKDJlL",NA,NA
"241","R_0cupkf4fRQjLf1f",NA,NA
"242","R_2zeHJRr4V0cTKWQ",NA,NA
"243","R_ANzRI4FyY6OkG0p","Access to instrumentation and analytical tools, access to software",NA
"244","R_3EoSdicVny87FVP",NA,NA
"245","R_26hSbKV3v7G37sN",NA,NA
"246","R_2bTb97pZHCUQPFl",NA,NA
"247","R_2arhrt5roJt2dUu",NA,NA
"248","R_1kNuJVzdFwP261q",NA,NA
"249","R_3qq9piyuQmicdg2",NA,NA
"250","R_1mlVpGAtH8ozOxs",NA,NA
"251","R_3kzkSfKmZzAETSt",NA,NA
"252","R_diN3pMe5WnNM3UR",NA,NA
"253","R_1gnMk01mhM4A78T","-","-"
"254","R_12maac4JzzzVJ49","Whether the data and analysis methods (code, processing scripts) are made available as open source products as part of the publication process. Whether the study was published in an open access journal.",NA
"255","R_3fw9zzmSBdpfoku","the funding needed to conduct the research (both the prior as the replicated study) (more funding needed decreases chances), the extent to which research has a societal impact or touches upon well debated topics (more debates increase likeliness to replicate)",NA
"256","R_1N1Svp5CfRCrP7y",NA,"if the phenomenon has few information about its aspects (e.g., data about its properties and relationships with other data), it is very likely to decrease the chances of replication."
"257","R_2dT638pkfuO1Y9q",NA,NA
"258","R_T2gXGhZLhfpgdm9",NA,NA
"259","R_3OpRADPduNKjEya",NA,NA
"260","R_1HcK5Beyfyu1bVM",NA,NA
"261","R_9yN3m8hSZw9DOtr",NA,NA
"262","R_2qlSz0jmuWrTNdd",NA,NA
"263","R_4OOu40Y7K5C4XwR",NA,NA
"264","R_qJIMk1SgFbWFqZr",NA,NA
"265","R_3h4wefeiWpv8qjl","cheat",NA
"266","R_2zj9ELKfr6t6eI6","Whether code and/or datasets are published along with the study",NA
"267","R_2Phi6ekja5yq8fo","1. Temporality of the study. 
2. In qualitative studies, linguistic differences especially in indigenous peoples because there are words that do not exist or cannot be translated.
3. Socio-environmental conditions, in studies that involve sampling at sites, on occasions of replicability studies, contextualized adjustments are required.

",NA
"268","R_1M08jGj2bY7Q1xS","The time factor","local changes"
"269","R_3EX39IG50mfpoyP","Community-engaged or community-driven research is likely going to decrease the chances of replicability.",NA
"270","R_p4qQv0HCkxIPjhf",NA,NA
"271","R_1DNHnDYV9Jbb3zZ","Physical access to a study site (e.g., not being able to visit Lake Turkana, Kenya)","Highly specialized methodologies, perhaps requiring extensive infrastructure investments, can be challenging to replicate"
"272","R_u1x9B19QF2XIS1r","Software used (i.e., for numerical simulation studies) is different. Modeling softwares have different pros and cons.","If irreversible events happened and largely affected the previous state of study site"
"273","R_a9I2KZxkQIqf2MN","Communication with other scientific researchers","none"
"274","R_xAFZq46daQnmI6t",NA,NA
"275","R_2ea54TNXI0G2Yi9",NA,NA
"276","R_rfJb4mgwGKTERQB",NA,NA
"277","R_da0uamrTt4giHpn","Lack of access to unique instrumentation for data collection.","Appropriate time scales and length scales not considered during sampling."
"278","R_2pPiQTXqq6IxUt7",NA,NA
"279","R_3KUdpK17gEnb4fU",NA,NA
"280","R_3IQWK1cyrrAaBg8",NA,NA
"281","R_1DohHngwEUcSUtE",NA,NA
"282","R_1K1DmlmYvBngzly",NA,NA
"283","R_OOrwKDM9E8r8ju1",NA,NA
