"X.","Human","Physical","Nature.society","Methods","Other","Overall"
"  Missing","1 (1.3%)","3 (2.7%)","0 (0%)","2 (4.1%)","0 (0%)","6 (2.1%)"
"Insufficient information about original methods","","","","","",""
"  Always","7 (9.2%)","11 (9.7%)","4 (9.5%)","9 (18.4%)","1 (33.3%)","32 (11.3%)"
"  Frequently","24 (31.6%)","35 (31.0%)","17 (40.5%)","20 (40.8%)","1 (33.3%)","97 (34.3%)"
"  Occasionally","17 (22.4%)","43 (38.1%)","13 (31.0%)","8 (16.3%)","1 (33.3%)","82 (29.0%)"
"  Rarely","11 (14.5%)","12 (10.6%)","4 (9.5%)","8 (16.3%)","0 (0%)","35 (12.4%)"
"  Never","0 (0%)","3 (2.7%)","0 (0%)","1 (2.0%)","0 (0%)","4 (1.4%)"
"  Don't know","16 (21.1%)","6 (5.3%)","4 (9.5%)","1 (2.0%)","0 (0%)","27 (9.5%)"
"  Missing","1 (1.3%)","3 (2.7%)","0 (0%)","2 (4.1%)","0 (0%)","6 (2.1%)"
"Difficulty recreating similar procedures","","","","","",""
"  Always","8 (10.5%)","7 (6.2%)","3 (7.1%)","8 (16.3%)","0 (0%)","26 (9.2%)"
"  Frequently","22 (28.9%)","36 (31.9%)","14 (33.3%)","15 (30.6%)","2 (66.7%)","89 (31.4%)"
"  Occasionally","17 (22.4%)","42 (37.2%)","18 (42.9%)","17 (34.7%)","1 (33.3%)","95 (33.6%)"
"  Rarely","9 (11.8%)","15 (13.3%)","4 (9.5%)","4 (8.2%)","0 (0%)","32 (11.3%)"
"  Never","0 (0%)","3 (2.7%)","0 (0%)","1 (2.0%)","0 (0%)","4 (1.4%)"
"  Don't know","18 (23.7%)","7 (6.2%)","3 (7.1%)","2 (4.1%)","0 (0%)","30 (10.6%)"
"  Missing","2 (2.6%)","3 (2.7%)","0 (0%)","2 (4.1%)","0 (0%)","7 (2.5%)"
"Lack of funding for replication studies","","","","","",""
"  Always","12 (15.8%)","29 (25.7%)","15 (35.7%)","11 (22.4%)","2 (66.7%)","69 (24.4%)"
"  Frequently","24 (31.6%)","44 (38.9%)","14 (33.3%)","17 (34.7%)","0 (0%)","99 (35.0%)"
"  Occasionally","11 (14.5%)","14 (12.4%)","5 (11.9%)","10 (20.4%)","0 (0%)","40 (14.1%)"
"  Rarely","6 (7.9%)","5 (4.4%)","2 (4.8%)","5 (10.2%)","1 (33.3%)","19 (6.7%)"
"  Never","1 (1.3%)","4 (3.5%)","0 (0%)","0 (0%)","0 (0%)","5 (1.8%)"
"  Don't know","21 (27.6%)","14 (12.4%)","6 (14.3%)","4 (8.2%)","0 (0%)","45 (15.9%)"
"  Missing","1 (1.3%)","3 (2.7%)","0 (0%)","2 (4.1%)","0 (0%)","6 (2.1%)"
"Fabrication of data or results by original authors","","","","","",""
"  Always","7 (9.2%)","10 (8.8%)","5 (11.9%)","2 (4.1%)","0 (0%)","24 (8.5%)"
"  Frequently","7 (9.2%)","10 (8.8%)","5 (11.9%)","7 (14.3%)","0 (0%)","29 (10.2%)"
"  Occasionally","10 (13.2%)","15 (13.3%)","1 (2.4%)","9 (18.4%)","0 (0%)","35 (12.4%)"
"  Rarely","11 (14.5%)","42 (37.2%)","13 (31.0%)","11 (22.4%)","1 (33.3%)","78 (27.6%)"
"  Never","6 (7.9%)","10 (8.8%)","4 (9.5%)","1 (2.0%)","2 (66.7%)","23 (8.1%)"
"  Don't know","33 (43.4%)","23 (20.4%)","14 (33.3%)","17 (34.7%)","0 (0%)","87 (30.7%)"
"  Missing","2 (2.6%)","3 (2.7%)","0 (0%)","2 (4.1%)","0 (0%)","7 (2.5%)"
"Ethical concerns","","","","","",""
"  Always","3 (3.9%)","10 (8.8%)","3 (7.1%)","2 (4.1%)","0 (0%)","18 (6.4%)"
"  Frequently","8 (10.5%)","3 (2.7%)","6 (14.3%)","4 (8.2%)","0 (0%)","21 (7.4%)"
"  Occasionally","14 (18.4%)","16 (14.2%)","8 (19.0%)","8 (16.3%)","1 (33.3%)","47 (16.6%)"
"  Rarely","18 (23.7%)","43 (38.1%)","12 (28.6%)","16 (32.7%)","1 (33.3%)","90 (31.8%)"
"  Never","11 (14.5%)","15 (13.3%)","6 (14.3%)","6 (12.2%)","1 (33.3%)","39 (13.8%)"
"  Don't know","21 (27.6%)","22 (19.5%)","6 (14.3%)","11 (22.4%)","0 (0%)","60 (21.2%)"
"  Missing","1 (1.3%)","4 (3.5%)","1 (2.4%)","2 (4.1%)","0 (0%)","8 (2.8%)"
"Known spatial variation in phenomena being studied","","","","","",""
"  Always","4 (5.3%)","10 (8.8%)","4 (9.5%)","4 (8.2%)","1 (33.3%)","23 (8.1%)"
"  Frequently","17 (22.4%)","30 (26.5%)","10 (23.8%)","12 (24.5%)","0 (0%)","69 (24.4%)"
"  Occasionally","17 (22.4%)","34 (30.1%)","10 (23.8%)","12 (24.5%)","0 (0%)","73 (25.8%)"
"  Rarely","5 (6.6%)","18 (15.9%)","5 (11.9%)","7 (14.3%)","1 (33.3%)","36 (12.7%)"
"  Never","6 (7.9%)","2 (1.8%)","2 (4.8%)","3 (6.1%)","0 (0%)","13 (4.6%)"
"  Don't know","26 (34.2%)","16 (14.2%)","11 (26.2%)","9 (18.4%)","1 (33.3%)","63 (22.3%)"
"  Missing","1 (1.3%)","3 (2.7%)","0 (0%)","2 (4.1%)","0 (0%)","6 (2.1%)"
