"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"  Missing","1 (0.7%)","0 (0%)","2 (2.0%)","0 (0%)","3 (1.1%)"
"Poor documentation of study methods","","","","",""
"  Very likely to increase","10 (7.5%)","2 (4.3%)","6 (5.9%)","0 (0%)","18 (6.4%)"
"  Somewhat likely to increase","6 (4.5%)","3 (6.5%)","14 (13.7%)","0 (0%)","23 (8.1%)"
"  Not likely to affect","6 (4.5%)","3 (6.5%)","11 (10.8%)","0 (0%)","20 (7.1%)"
"  Somewhat likely to decrease","19 (14.2%)","8 (17.4%)","10 (9.8%)","0 (0%)","37 (13.1%)"
"  Very likely to decrease","92 (68.7%)","25 (54.3%)","57 (55.9%)","1 (100%)","175 (61.8%)"
"  Don't know","1 (0.7%)","5 (10.9%)","3 (2.9%)","0 (0%)","9 (3.2%)"
"  Missing","0 (0%)","0 (0%)","1 (1.0%)","0 (0%)","1 (0.4%)"
"Restricted access data were used","","","","",""
"  Very likely to increase","7 (5.2%)","1 (2.2%)","7 (6.9%)","0 (0%)","15 (5.3%)"
"  Somewhat likely to increase","11 (8.2%)","4 (8.7%)","14 (13.7%)","0 (0%)","29 (10.2%)"
"  Not likely to affect","17 (12.7%)","5 (10.9%)","14 (13.7%)","0 (0%)","36 (12.7%)"
"  Somewhat likely to decrease","29 (21.6%)","12 (26.1%)","26 (25.5%)","0 (0%)","67 (23.7%)"
"  Very likely to decrease","67 (50.0%)","17 (37.0%)","35 (34.3%)","1 (100%)","120 (42.4%)"
"  Don't know","3 (2.2%)","7 (15.2%)","5 (4.9%)","0 (0%)","15 (5.3%)"
"  Missing","0 (0%)","0 (0%)","1 (1.0%)","0 (0%)","1 (0.4%)"
"Data were gathered from multiple sites","","","","",""
"  Very likely to increase","20 (14.9%)","5 (10.9%)","12 (11.8%)","0 (0%)","37 (13.1%)"
"  Somewhat likely to increase","34 (25.4%)","12 (26.1%)","31 (30.4%)","0 (0%)","77 (27.2%)"
"  Not likely to affect","44 (32.8%)","16 (34.8%)","37 (36.3%)","1 (100%)","98 (34.6%)"
"  Somewhat likely to decrease","29 (21.6%)","6 (13.0%)","16 (15.7%)","0 (0%)","51 (18.0%)"
"  Very likely to decrease","5 (3.7%)","1 (2.2%)","3 (2.9%)","0 (0%)","9 (3.2%)"
"  Don't know","2 (1.5%)","6 (13.0%)","2 (2.0%)","0 (0%)","10 (3.5%)"
"  Missing","0 (0%)","0 (0%)","1 (1.0%)","0 (0%)","1 (0.4%)"
"A large research team conducted the study","","","","",""
"  Very likely to increase","13 (9.7%)","3 (6.5%)","12 (11.8%)","0 (0%)","28 (9.9%)"
"  Somewhat likely to increase","17 (12.7%)","5 (10.9%)","18 (17.6%)","0 (0%)","40 (14.1%)"
"  Not likely to affect","71 (53.0%)","24 (52.2%)","49 (48.0%)","1 (100%)","145 (51.2%)"
"  Somewhat likely to decrease","20 (14.9%)","5 (10.9%)","15 (14.7%)","0 (0%)","40 (14.1%)"
"  Very likely to decrease","5 (3.7%)","1 (2.2%)","5 (4.9%)","0 (0%)","11 (3.9%)"
"  Don't know","6 (4.5%)","8 (17.4%)","2 (2.0%)","0 (0%)","16 (5.7%)"
"  Missing","2 (1.5%)","0 (0%)","1 (1.0%)","0 (0%)","3 (1.1%)"
"Relied on expertise unique to the researcher","","","","",""
"  Very likely to increase","5 (3.7%)","2 (4.3%)","10 (9.8%)","0 (0%)","17 (6.0%)"
"  Somewhat likely to increase","18 (13.4%)","6 (13.0%)","18 (17.6%)","0 (0%)","42 (14.8%)"
"  Not likely to affect","31 (23.1%)","13 (28.3%)","24 (23.5%)","0 (0%)","68 (24.0%)"
"  Somewhat likely to decrease","45 (33.6%)","10 (21.7%)","36 (35.3%)","0 (0%)","91 (32.2%)"
"  Very likely to decrease","30 (22.4%)","8 (17.4%)","8 (7.8%)","1 (100%)","47 (16.6%)"
"  Don't know","5 (3.7%)","7 (15.2%)","5 (4.9%)","0 (0%)","17 (6.0%)"
"  Missing","0 (0%)","0 (0%)","1 (1.0%)","0 (0%)","1 (0.4%)"
"Relied on the unique position of the researcher","","","","",""
"  Very likely to increase","1 (0.7%)","2 (4.3%)","8 (7.8%)","0 (0%)","11 (3.9%)"
"  Somewhat likely to increase","12 (9.0%)","5 (10.9%)","13 (12.7%)","0 (0%)","30 (10.6%)"
"  Not likely to affect","33 (24.6%)","8 (17.4%)","26 (25.5%)","0 (0%)","67 (23.7%)"
"  Somewhat likely to decrease","43 (32.1%)","10 (21.7%)","25 (24.5%)","0 (0%)","78 (27.6%)"
"  Very likely to decrease","36 (26.9%)","14 (30.4%)","22 (21.6%)","1 (100%)","73 (25.8%)"
"  Don't know","8 (6.0%)","7 (15.2%)","7 (6.9%)","0 (0%)","22 (7.8%)"
"  Missing","1 (0.7%)","0 (0%)","1 (1.0%)","0 (0%)","2 (0.7%)"
