"X.","Human","Physical","Nature.society","Methods","Other","Overall"
"  Missing","1 (1.3%)","1 (0.9%)","0 (0%)","1 (2.0%)","0 (0%)","3 (1.1%)"
"Relied on expertise unique to the researcher","","","","","",""
"  Very likely to increase","4 (5.3%)","6 (5.3%)","4 (9.5%)","3 (6.1%)","0 (0%)","17 (6.0%)"
"  Somewhat likely to increase","8 (10.5%)","22 (19.5%)","3 (7.1%)","9 (18.4%)","0 (0%)","42 (14.8%)"
"  Not likely to affect","17 (22.4%)","31 (27.4%)","12 (28.6%)","7 (14.3%)","1 (33.3%)","68 (24.0%)"
"  Somewhat likely to decrease","26 (34.2%)","31 (27.4%)","14 (33.3%)","20 (40.8%)","0 (0%)","91 (32.2%)"
"  Very likely to decrease","9 (11.8%)","20 (17.7%)","7 (16.7%)","9 (18.4%)","2 (66.7%)","47 (16.6%)"
"  Don't know","12 (15.8%)","2 (1.8%)","2 (4.8%)","1 (2.0%)","0 (0%)","17 (6.0%)"
"  Missing","0 (0%)","1 (0.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.4%)"
"Relied on the unique position of the researcher","","","","","",""
"  Very likely to increase","2 (2.6%)","3 (2.7%)","4 (9.5%)","2 (4.1%)","0 (0%)","11 (3.9%)"
"  Somewhat likely to increase","5 (6.6%)","18 (15.9%)","2 (4.8%)","5 (10.2%)","0 (0%)","30 (10.6%)"
"  Not likely to affect","16 (21.1%)","27 (23.9%)","10 (23.8%)","13 (26.5%)","1 (33.3%)","67 (23.7%)"
"  Somewhat likely to decrease","20 (26.3%)","29 (25.7%)","12 (28.6%)","17 (34.7%)","0 (0%)","78 (27.6%)"
"  Very likely to decrease","21 (27.6%)","29 (25.7%)","12 (28.6%)","9 (18.4%)","2 (66.7%)","73 (25.8%)"
"  Don't know","12 (15.8%)","5 (4.4%)","2 (4.8%)","3 (6.1%)","0 (0%)","22 (7.8%)"
"  Missing","0 (0%)","2 (1.8%)","0 (0%)","0 (0%)","0 (0%)","2 (0.7%)"
